id,movie_name,directed_by,produced_by,starring,music_by,distributed_by,running_time,country,language,edited_by
433,Zootopia,"Byron Howard, Rich Moore",Clark Spencer,"Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate, Nate Torrence, Bonnie Hunt, Don Lake, Tommy Chong, J. K. Simmons, Octavia Spencer, Alan Tudyk, Shakira",Michael Giacchino,Walt Disney StudiosMotion Pictures,00:01:48,United States,English,Fabienne RawleyJeremy Milton
500,Pinocchio (2022 live-action film),Robert Zemeckis,Andrew MilanoChris WeitzRobert ZemeckisDerek Hogue,"Tom Hanks, Benjamin Evan Ainsworth, Joseph Gordon-Levitt, Keegan-Michael Key, Lorraine Bracco, Cynthia Erivo, Luke Evans",Alan Silvestri,Disney+,00:01:45,United States,English,Mick Audsley
519,Snow White (2025 film),Marc Webb,Marc Platt,"Rachel Zegler, Gal Gadot",Pasek & Paul,Walt Disney StudiosMotion Pictures,,United States,English,Mark Sanger
113,The Bears and I,Bernard McEveety,Winston Hibler,"Patrick Wayne, Chief Dan George, Andrew Duggan, Michael Ansara, Robert Pine",Buddy Baker,Buena Vista Distribution,00:01:29,United States,English,G. Gregg McLaughlin
174,Beauty and the Beast (1991 film),"Gary Trousdale, Kirk Wise",Don Hahn,"Paige OHara, Robby Benson, Richard White, Jerry Orbach, David Ogden Stiers, Angela Lansbury, Rex Everhart, Jesse Corti",Alan Menken,"Buena Vista Pictures Distribution, Inc.",00:01:24,United States,English,John Carnochan
231,Pocahontas II: Journey to a New World,Bradley Raymond,Leslie Hough,"Irene Bedard, Billy Zane, Jim Cummings, Donal Gibson, David Ogden Stiers, Linda Hunt, Jean Stapleton, Russell Means, Finola Hughes, Brad Garrett",Lennie Niehaus,Walt Disney Home Video,00:01:12,United StatesCanadaAustralia,English,
186,Iron Will,Charles Haid,Patrick PalmerRobert Schwartz,"Mackenzie Astin, Kevin Spacey, David Ogden Stiers",Joel McNeely,Buena Vista Pictures Distribution,00:01:49,United States,English,Andrew Doerfer
111,Superdad,Vincent McEveety,Bill Anderson,"Bob Crane, Barbara Rush, Kurt Russell, Joe Flynn, Kathleen Cody",Buddy Baker,Buena Vista Distribution,00:01:36,United States,English,Ray de Leuw
328,Leroy & Stitch,Tony CraigBobs Gannaway,Igor Khait,"Chris Sanders, Daveigh Chase, Tia Carrere, David Ogden Stiers, Kevin McDonald, Kevin Michael Richardson, Jeff Bennett, Rob Paulsen, Zoe Caldwell, Liliana Mumy, Ving Rhames",J. A. C. Redford,Walt Disney Home Entertainment,00:01:12,United States,English,Tony Mizgalski
493,Cheaper by the Dozen (2022 film),Gail Lerner,Kenya Barris,"Gabrielle Union, Zach Braff, Erika Christensen",John Paesano,Disney+,00:01:47,United States,English,Troy Takaki
250,Dinosaur (2000 film),Ralph Zondag,Pam Marsden,"D. B. Sweeney, Alfre Woodard, Ossie Davis, Max Casella, Hayden Panettiere, Samuel E. Wright, Julianna Margulies, Joan Plowright, Della Reese",James Newton Howard,Buena Vista Pictures Distribution,00:01:22,United States,English,H. Lee Peterson
